k:1 sum:221
1146 41 supp:501
1600 39 supp:474
1600 48 supp:444
32 65 supp:774
48 65 supp:2529
286 38 supp:1116
39 604 supp:775
48 549 supp:513
37 38 supp:1046
475 48 supp:1428
270 271 supp:680
270 41 supp:508
270 48 supp:957
39 976 supp:471
39 49 supp:768
1435 39 supp:459
1344 39 supp:485
37 48 supp:565
39 570 supp:558
255 39 supp:1057
32 41 supp:3196
14098 39 supp:801
2958 39 supp:655
14098 48 supp:698
242 39 supp:564
170 41 supp:805
48 533 supp:861
255 48 supp:1057
269 39 supp:441
39 413 supp:1130
161 48 supp:517
413 48 supp:1135
2238 39 supp:1287
110 48 supp:1380
123 39 supp:726
179 39 supp:653
11 39 supp:472
2958 48 supp:779
310 32 supp:541
31 39 supp:538
32 36 supp:494
31 48 supp:493
103 39 supp:512
10 39 supp:452
39 789 supp:447
16010 39 supp:829
110 41 supp:677
39 78 supp:774
334 39 supp:506
229 39 supp:503
48 79 supp:893
15832 48 supp:585
39 740 supp:759
48 522 supp:582
48 772 supp:442
237 38 supp:683
105 39 supp:455
258 39 supp:628
39 89 supp:2749
36 48 supp:1416
479 48 supp:513
271 39 supp:1434
225 38 supp:681
39 703 supp:453
48 60 supp:815
36 38 supp:2790
38 55 supp:657
38 41 supp:3897
32 475 supp:447
38 48 supp:7944
38 790 supp:508
32 48 supp:8034
39 65 supp:2787
101 41 supp:476
147 39 supp:1137
39 649 supp:531
48 78 supp:824
16010 41 supp:467
39 806 supp:493
405 48 supp:525
39 812 supp:471
48 49 supp:843
110 38 supp:2725
264 39 supp:599
1327 48 supp:968
249 39 supp:752
39 544 supp:524
249 48 supp:675
10515 39 supp:528
39 76 supp:529
1393 48 supp:669
286 48 supp:591
39 479 supp:580
16217 39 supp:728
1327 39 supp:1156
237 39 supp:1929
15832 39 supp:718
286 39 supp:750
39 60 supp:983
39 783 supp:640
161 39 supp:622
225 39 supp:2351
1393 39 supp:789
39 55 supp:452
1146 39 supp:983
48 703 supp:467
110 39 supp:1759
38 89 supp:764
39 405 supp:500
175 39 supp:631
39 824 supp:703
39 589 supp:708
48 740 supp:520
117 39 supp:554
39 548 supp:663
48 544 supp:504
389 39 supp:544
19 39 supp:592
41 475 supp:570
39 79 supp:1111
301 48 supp:658
13041 39 supp:688
39 9 supp:832
301 39 supp:715
1004 39 supp:583
23 39 supp:512
3270 48 supp:592
18 48 supp:465
156 39 supp:582
201 39 supp:669
39 766 supp:470
39 592 supp:723
38 56 supp:514
39 956 supp:600
1327 41 supp:459
237 48 supp:1682
334 48 supp:443
371 39 supp:532
48 766 supp:489
37 39 supp:707
237 32 supp:568
237 41 supp:597
36 39 supp:2037
271 41 supp:584
1814 48 supp:451
229 48 supp:545
48 783 supp:583
225 32 supp:655
156 48 supp:473
225 41 supp:877
225 48 supp:1736
170 48 supp:1557
1146 48 supp:811
39 677 supp:635
48 76 supp:485
170 32 supp:540
48 570 supp:514
1135 48 supp:541
264 48 supp:534
110 32 supp:449
39 475 supp:1500
271 48 supp:1090
32 89 supp:713
1578 48 supp:469
48 589 supp:628
39 522 supp:648
41 48 supp:9018
48 824 supp:701
39 45 supp:559
48 956 supp:540
48 677 supp:666
41 89 supp:732
48 604 supp:687
48 649 supp:490
170 39 supp:2059
48 976 supp:456
39 41 supp:11414
32 39 supp:8455
48 548 supp:658
101 48 supp:1311
41 65 supp:995
11 48 supp:463
338 48 supp:779
19 48 supp:591
147 48 supp:1036
18 39 supp:540
48 812 supp:463
1004 48 supp:614
123 48 supp:797
38 39 supp:10345
48 592 supp:743

k:3 sum:102
16217 39 48 supp:463
105 38 39 supp:449
13041 39 48 supp:444
170 38 41 supp:794
170 38 48 supp:1538
170 32 38 supp:532
170 38 39 supp:2019
12925 39 48 supp:588
32 36 38 supp:472
310 39 41 supp:625
310 41 48 supp:547
338 39 48 supp:516
270 271 39 supp:484
38 39 65 supp:488
36 38 41 supp:671
36 39 41 supp:572
179 39 48 supp:452
258 39 48 supp:452
371 38 39 supp:526
2238 39 48 supp:788
185 39 48 supp:555
39 48 604 supp:520
32 38 39 supp:1840
39 48 49 supp:617
39 413 48 supp:781
39 48 78 supp:610
39 48 89 supp:2125
39 48 65 supp:1797
39 48 60 supp:609
39 48 824 supp:471
39 48 589 supp:443
39 48 548 supp:467
270 39 48 supp:733
39 48 79 supp:699
32 38 41 supp:805
39 48 9 supp:546
39 48 677 supp:446
39 475 48 supp:1092
101 39 48 supp:946
32 48 65 supp:492
32 39 65 supp:512
286 38 48 supp:581
16010 39 48 supp:529
286 38 39 supp:728
37 38 48 supp:557
37 38 39 supp:684
39 48 592 supp:515
255 39 48 supp:813
32 41 48 supp:2063
32 39 41 supp:2359
14098 39 48 supp:540
2958 39 48 supp:570
170 41 48 supp:492
170 39 41 supp:624
110 38 48 supp:1361
110 39 48 supp:1037
39 438 48 supp:780
123 39 48 supp:509
32 38 48 supp:1646
110 38 41 supp:666
110 39 41 supp:515
237 38 39 supp:512
39 41 89 supp:619
36 38 48 supp:1360
36 39 48 supp:1116
271 39 41 supp:451
271 39 48 supp:827
225 38 39 supp:535
36 38 39 supp:1945
38 41 48 supp:2374
38 39 41 supp:3051
38 39 48 supp:6102
310 39 48 supp:1347
32 48 89 supp:573
32 39 48 supp:5402
39 41 65 supp:792
147 39 48 supp:742
110 38 39 supp:1740
110 32 38 supp:443
1327 39 48 supp:720
249 39 48 supp:510
1393 39 48 supp:507
39 41 48 supp:7366
286 39 48 supp:464
237 39 48 supp:1244
237 39 41 supp:477
225 32 39 supp:466
225 39 41 supp:726
2238 39 41 supp:472
225 39 48 supp:1400
1146 39 48 supp:623
201 39 48 supp:451
38 39 89 supp:589
39 48 533 supp:632
301 39 48 supp:473
38 48 89 supp:578
225 41 48 supp:537
170 39 48 supp:1206
39 41 475 supp:476
32 39 89 supp:532
41 48 89 supp:606
41 48 65 supp:663

k:4 sum:19
170 38 41 48 supp:484
170 38 39 41 supp:615
170 38 39 48 supp:1193
36 38 39 41 supp:553
32 38 39 41 supp:622
310 39 41 48 supp:486
32 38 39 48 supp:1236
286 38 39 48 supp:458
32 39 41 48 supp:1646
110 38 39 48 supp:1031
110 38 39 41 supp:511
39 41 48 89 supp:522
36 38 39 48 supp:1080
38 39 41 48 supp:1991
38 39 48 89 supp:467
32 38 41 48 supp:540
32 39 48 89 supp:451
39 41 48 65 supp:547
225 39 41 48 supp:469

k:5 sum:1
32 38 39 41 48 supp:448


sum_freq:580
